mz,rt,rt1,rt2,intensity,z,pic_label,score
362.8633045736944,1348.889610891625,1342.1151045932702,1355.3721831216894,2694695.908569336,3,1348.889610891625_362.8633045736944_2694695.908569336,
468.7377585714219,1350.209916991944,1345.76354257011,1353.67629567528,652886.2529296875,2,1350.209916991944_468.7377585714219_652886.2529296875,
359.18113060957734,1347.397077161716,1340.5196721925802,1369.09887162591,550601.2397460938,3,1347.397077161716_359.18113060957734_550601.2397460938,
382.5343485135076,1353.6820761565807,1343.9139255657,1364.35182670497,632766.7021484375,3,1353.6820761565807_382.5343485135076_632766.7021484375,
397.0278711656128,1353.588153057256,1347.05987314128,1364.35182670497,582731.5495605469,2,1353.588153057256_397.0278711656128_582731.5495605469,
399.1934573542878,1352.99224230621,1349.294511117,1357.88382855798,713616.7778320312,3,1352.99224230621_399.1934573542878_713616.7778320312,
425.5457781588984,1348.3213402406054,1343.9139255657,1355.3721831216894,3776103.124511719,3,1348.3213402406054_425.5457781588984_3776103.124511719,
483.2303395311347,1351.1540158947937,1345.76354257011,1357.88382855798,298682.4609375,2,1351.1540158947937_483.2303395311347_298682.4609375,
493.2560660256546,1353.6779689827042,1348.1539441719,1355.3721831216894,466398.5263671875,2,1353.6779689827042_493.2560660256546_466398.5263671875,
533.8022065805528,1353.1473928478626,1350.5868236198698,1360.70186261082,1798065.0703125,2,1353.1473928478626_533.8022065805528_1798065.0703125,
541.7842804563621,1353.6507428414664,1352.18246165658,1357.88382855798,724083.224609375,2,1353.6507428414664_541.7842804563621_724083.224609375,
544.7934795046997,1355.2600057244535,1350.5868236198698,1357.88382855798,1255272.0532226562,2,1355.2600057244535_544.7934795046997_1255272.0532226562,
368.1921218334443,1356.4731421058327,1343.9139255657,1365.8471947088103,491665.4765625,3,1356.4731421058327_368.1921218334443_491665.4765625,
550.8051846130332,1357.889481120147,1350.5868236198698,1360.70186261082,719437.48828125,2,1357.889481120147_550.8051846130332_719437.48828125,
474.7593759545483,1355.5111272601994,1342.1151045932702,1365.8471947088103,1260780.267578125,2,1355.5111272601994_474.7593759545483_1260780.267578125,
510.7480455672867,1360.6430709404583,1353.67629567528,1364.35182670497,538647.9853515625,2,1360.6430709404583_510.7480455672867_538647.9853515625,
445.7563516279978,1359.266781609386,1352.18246165658,1367.39711514855,785566.4677734375,2,1359.266781609386_445.7563516279978_785566.4677734375,
362.54256740288486,1365.5623145535674,1355.3721831216894,1369.09887162591,854533.9829101562,3,1365.5623145535674_362.54256740288486_854533.9829101562,
364.8710801890656,1364.375837314067,1357.88382855798,1367.39711514855,406052.7509765625,3,1364.375837314067_364.8710801890656_406052.7509765625,
374.6891731164532,1365.8678683483554,1345.76354257011,1367.39711514855,591132.533203125,2,1365.8678683483554_374.6891731164532_591132.533203125,
473.24104402515127,1361.0539316548293,1352.18246165658,1367.39711514855,636534.3283691406,2,1361.0539316548293_473.24104402515127_636534.3283691406,
583.8042381756634,1363.0320775832593,1360.70186261082,1367.39711514855,452896.7700195313,2,1363.0320775832593_583.8042381756634_452896.7700195313,
370.1913293138379,1363.9308943006824,1357.88382855798,1369.09887162591,3261192.443359375,3,1363.9308943006824_370.1913293138379_3261192.443359375,
535.7644830285791,1361.4470751660792,1352.18246165658,1370.94876412296,893630.7041015625,2,1361.4470751660792_535.7644830285791_893630.7041015625,
468.74374421678345,1368.4042503480673,1360.70186261082,1374.79896906756,922322.5092773438,2,1368.4042503480673_468.74374421678345_922322.5092773438,
499.2609218007584,1369.1053208634453,1362.8059531822198,1370.94876412296,513703.669921875,2,1369.1053208634453_499.2609218007584_513703.669921875,
404.5073189576935,1370.4246664215816,1364.35182670497,1373.00090257071,465402.4213867188,3,1370.4246664215816_404.5073189576935_465402.4213867188,
415.5490647706986,1369.1269868181912,1364.35182670497,1370.94876412296,1612396.9365234375,3,1369.1269868181912_415.5490647706986_1612396.9365234375,
586.7345302845023,1370.9643543378816,1362.8059531822198,1373.00090257071,412127.810546875,2,1370.9643543378816_586.7345302845023_412127.810546875,
587.2836923441007,1368.2060569047994,1360.70186261082,1374.79896906756,2834076.805480957,2,1368.2060569047994_587.2836923441007_2834076.805480957,
543.2703317546384,1368.6895493788609,1365.8471947088103,1370.94876412296,796160.8247070312,2,1368.6895493788609_543.2703317546384_796160.8247070312,
551.7785596364648,1370.9591840309083,1365.8471947088103,1373.00090257071,466338.5625,2,1370.9591840309083_551.7785596364648_466338.5625,
598.274274667764,1369.006498755679,1362.8059531822198,1373.00090257071,861531.548828125,2,1369.006498755679_598.274274667764_861531.548828125,
622.8208062633242,1369.112705792147,1365.8471947088103,1370.94876412296,632266.3095703125,2,1369.112705792147_622.8208062633242_632266.3095703125,
542.253006603751,1371.0028294899996,1367.39711514855,1374.79896906756,601431.2689208984,2,1371.0028294899996_542.253006603751_601431.2689208984,
993.4017840936924,1370.985045476524,1365.8471947088103,1374.79896906756,710151.275390625,3,1370.985045476524_993.4017840936924_710151.275390625,
444.8050906005283,1375.8421311896814,1365.8471947088103,1378.55373219396,290816.599609375,3,1375.8421311896814_444.8050906005283_290816.599609375,
534.2709938160872,1371.161862663359,1365.8471947088103,1376.5499716176894,2033395.328735352,2,1371.161862663359_534.2709938160872_2033395.328735352,
410.2380694575782,1374.4280598308412,1369.09887162591,1380.91080466653,797826.4072265625,2,1374.4280598308412_410.2380694575782_797826.4072265625,
442.22860680094425,1374.6440866759008,1367.39711514855,1378.55373219396,4042006.3583984375,3,1374.6440866759008_442.22860680094425_4042006.3583984375,
528.7806922123829,1372.9467358701795,1370.94876412296,1376.5499716176894,796928.7692871094,2,1372.9467358701795_528.7806922123829_796928.7692871094,
662.8396608906104,1374.8031648728115,1367.39711514855,1376.5499716176894,1180697.3544921875,2,1374.8031648728115_662.8396608906104_1180697.3544921875,
364.8453650565304,1373.8629071585983,1369.09887162591,1385.88257614518,1741320.4454345703,3,1373.8629071585983_364.8453650565304_1741320.4454345703,
416.20946080435925,1376.5729396626548,1370.94876412296,1378.55373219396,1584836.873046875,3,1376.5729396626548_416.20946080435925_1584836.873046875,
429.86686182331374,1376.570621208523,1373.00090257071,1378.55373219396,1272394.7578125,3,1376.570621208523_429.86686182331374_1272394.7578125,
447.70832146441455,1378.3014015157216,1357.88382855798,1380.91080466653,831362.1870117188,2,1378.3014015157216_447.70832146441455_831362.1870117188,
